Mass,B_V,T0.10,T0.12,T0.15,T0.20,T0.22,T0.25,T0.30,T0.40,T0.50,T0.60,T0.70,T1.00,T1.50,T2.00,T2.50,T4.00,T4.57
0.45,1.477,9.69,9.76,10.94,14.87,15.95,17.10,18.24,19.99,21.54,22.93,24.18,27.21,29.88,31.11,31.90,33.36,34.42
0.50,1.440,9.08,9.27,11.81,14.43,14.99,15.63,16.49,17.80,18.76,19.53,20.18,21.68,23.19,24.66,26.11,30.52,32.41
0.55,1.390,8.40,9.89,11.53,12.43,12.76,13.24,14.00,15.30,16.18,16.69,17.04,17.92,19.47,21.26,23.27,29.82,32.72
0.60,1.338,8.26,9.63,10.38,11.24,11.50,11.84,12.28,12.94,13.43,13.88,14.30,15.61,17.87,20.20,22.62,30.29,33.27
0.65,1.277,8.18,8.60,9.25,9.97,10.16,10.39,10.71,11.22,11.68,12.16,12.61,14.12,16.77,19.62,22.62,31.49,34.70
0.70,1.186,7.38,7.88,8.38,8.83,8.96,9.12,9.38,9.87,10.40,10.92,11.46,13.21,16.30,19.50,22.77,31.96,35.11
0.75,1.072,6.73,7.15,7.51,7.87,7.97,8.12,8.39,8.92,9.49,10.10,10.72,12.69,16.12,19.55,22.86,31.74,34.68
0.80,0.961,6.19,6.42,6.64,6.94,7.06,7.24,7.56,8.19,8.86,9.55,10.25,12.42,16.05,19.49,22.69,31.01,33.76
0.85,0.867,5.65,5.79,5.97,6.29,6.41,6.61,6.95,7.66,8.39,9.14,9.90,12.18,15.85,19.21,22.26,30.01,32.56
0.90,0.787,5.14,5.31,5.50,5.82,5.95,6.15,6.50,7.22,7.96,8.73,9.51,11.82,15.41,18.59,21.46,28.69,31.09
0.95,0.718,4.67,4.81,5.01,5.36,5.51,5.73,6.11,6.87,7.64,8.41,9.19,11.42,14.79,17.75,20.40,27.15,29.38
1.00,0.661,4.33,4.45,4.64,4.98,5.12,5.33,5.70,6.45,7.21,7.95,8.69,10.79,13.91,16.63,19.06,25.23,27.32
1.05,0.609,3.99,4.10,4.29,4.62,4.75,4.96,5.31,5.99,6.69,7.36,8.02,9.91,12.70,15.14,17.31,22.94,24.92
1.10,0.564,3.67,3.78,3.96,4.25,4.36,4.53,4.82,5.40,5.99,6.56,7.12,8.74,11.12,13.19,15.03,20.03,22.02
1.15,0.523,3.35,3.44,3.58,3.81,3.91,4.05,4.28,4.75,5.20,5.63,6.07,7.28,9.11,10.72,12.19,16.67,18.78
1.20,0.484,3.01,3.09,3.21,3.40,3.46,3.55,3.69,3.94,4.19,4.44,4.69,5.45,6.62,7.69,8.74,13.70,
1.25,0.448,2.75,2.77,2.78,2.82,2.84,2.86,2.89,2.97,3.05,3.12,3.17,3.35,3.58,3.96,4.69,10.86,
